	Correct_Ranking_Position	Patch_Type	Bug	Buggy_Path	by_SelfAPR	Ground_truth 
	9	IDENTICAL	Compress_33	src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java	if ( DeflateCompressorInputStream. matches ( signature, signatureLength ) ) { return new DeflateCompressorInputStream ( in ) ; }	if (DeflateCompressorInputStream.matches(signature, signatureLength)) { return new DeflateCompressorInputStream(in); }	
	20	IDENTICAL	Compress_4	src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java	[REMOVE]	nan	
	3	IDENTICAL	JacksonCore_19	src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java	if  (  outPtr  >=  outBuf.  length  )  {  outBuf  =  _textBuffer.  finishCurrentSegment  (  )  ;  outPtr  =  0;  }	if  (outPtr  >=  outBuf.length)  {  outBuf  =  _textBuffer.finishCurrentSegment();  outPtr  =  0;  }	
	2	IDENTICAL	JacksonCore_25	src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	if  (  i  <  maxCode  )  {	if  (i  <  maxCode)  {	
	30	IDENTICAL	JacksonDatabind_27	src/main/java/com/fasterxml/jackson/databind/deser/BeanDeserializer.java	[REPLACE]  if  (  ext.  handlePropertyValue  (  p,  ctxt,  propName,  null  )  )  {	if  (ext.handlePropertyValue(p,  ctxt,  propName,  null))  {	
	1	IDENTICAL	JacksonDatabind_46	src/main/java/com/fasterxml/jackson/databind/type/ReferenceType.java	[ADD]  sb.  append  (   ">;   "  )  ;	sb.append( ">; ");	
	11	IDENTICAL	JacksonDatabind_47	src/main/java/com/fasterxml/jackson/databind/AnnotationIntrospector.java	Class  <?>  currRaw  =  type.  getRawClass  (  )  ;	Class  <?>  currRaw  =  type.getRawClass();	
	2	IDENTICAL	JacksonDatabind_99	src/main/java/com/fasterxml/jackson/databind/type/ReferenceType.java	[REPLACE]  sb.  append  (  '>'  )  ;	sb.append('>');	
	1	IDENTICAL	Jsoup_18	src/main/java/org/jsoup/parser/CharacterReader.java	String  data  =  input.  substring  (  pos,  input.  length  (  )  )  ;	String  data  =  input.substring(pos,  input.length());	
	1	IDENTICAL	Jsoup_24	src/main/java/org/jsoup/parser/TokeniserState.java		nan	
	1	IDENTICAL	Lang_10	src/main/java/org/apache/commons/lang3/time/FastDateParser.java	boolean  wasWhite  =  true;	boolean  wasWhite  =  true  ;	
	2	IDENTICAL	Lang_21	src/main/java/org/apache/commons/lang3/time/DateUtils.java	[REPLACE]  cal1.  get  (  Calendar.  HOUR_OF_DAY  )  ==  cal2.  get  (  Calendar.  HOUR_OF_DAY  )  &&	cal1.get(Calendar.HOUR_OF_DAY)  ==  cal2.get(Calendar.HOUR_OF_DAY)  &&	
	41	IDENTICAL	Lang_26	src/main/java/org/apache/commons/lang3/time/FastDateFormat.java	Calendar  c  =  new  GregorianCalendar  (  mTimeZone,  mLocale  )  ;	Calendar  c  =  new  GregorianCalendar(mTimeZone,  mLocale);	
	8	IDENTICAL	Lang_4	src/main/java/org/apache/commons/lang3/text/translate/LookupTranslator.java	[REPLACE]  lookupMap  =  new  HashMap  <  String,  CharSequence>  (  )  ;	lookupMap  =  new  HashMap  <  String,  CharSequence>();	
	1	IDENTICAL	Lang_43	src/java/org/apache/commons/lang/text/ExtendedMessageFormat.java	[ADD]  next  (  pos  )  ;	next(pos);	
	2	IDENTICAL	Lang_59	src/java/org/apache/commons/lang/text/StrBuilder.java	str.  getChars  (  0,  width,  buffer,  size  )  ;	str.getChars(0,  width,  buffer,  size);	
	3	IDENTICAL	Lang_6	src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	[REPLACE]  pos  +=  Character.  charCount  (  Character.  codePointAt  (  input,  pt  )  )  ;	pos  +=  Character.charCount(Character.codePointAt(input,  pt));	
	1	IDENTICAL	Math_22	src/main/java/org/apache/commons/math3/distribution/FDistribution.java	[REPLACE]  return  false;	return  false;	
	2	IDENTICAL	Math_30	src/main/java/org/apache/commons/math3/stat/inference/MannWhitneyUTest.java	final  double  n1n2prod  =  n1  *  n2;	final  double  n1n2prod  =  n1  *  n2;	
	2	IDENTICAL	Math_41	src/main/java/org/apache/commons/math/stat/descriptive/moment/Variance.java	for  (  int  i  =  begin;  i  <  begin + length;  i++  )  {	for  (int  i  =  begin;  i  <  begin  +  length;  i++)  {	
	1	IDENTICAL	Math_49	src/main/java/org/apache/commons/math/linear/OpenMapRealVector.java	Iterator  iter=entries.  iterator  (  )  ;	Iterator  iter  =  entries.iterator();	
	18	IDENTICAL	Math_5	src/main/java/org/apache/commons/math3/complex/Complex.java	[REPLACE]  return  INF;	return  INF;	
	38	IDENTICAL	Math_72	src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	setResult  (  min,  0  )  ;	setResult(min,  0);	
	8	IDENTICAL	Math_75	src/main/java/org/apache/commons/math/stat/Frequency.java	[REPLACE]  return  getPct  (  (  Comparable  <?>  )  v  )  ;	return  getPct((Comparable  <?>)  v);	
	2	IDENTICAL	Math_77	src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	max  =  Math.  max  (  max,  Math.  abs  (  a  )  )  ;	max  =  Math.max(max,  Math.abs(a));	
	2	IDENTICAL	Chart_4	source/org/jfree/chart/plot/XYPlot.java	if  (r!=  null)  {	if  (r!=  null)  {	
	17	IDENTICAL	Cli_27	src/java/org/apache/commons/cli/OptionGroup.java	if  (  selected  ==  null  ||  selected.  equals  (  option.  getKey  (  )  )  )  {	if  (selected  ==  null  ||  selected.equals(option.getKey()))  {  
	1	IDENTICAL	Math_79	src/main/java/org/apache/commons/math/util/MathUtils.java	double  sum  =  0;	double  sum  =  0;	
	7	IDENTICAL	Math_82	src/main/java/org/apache/commons/math/optimization/linear/SimplexSolver.java	[REPLACE]  if  (  MathUtils.  compareTo  (  entry,  0,  epsilon  )  >  0  )  {	if  (MathUtils.compareTo(entry,  0,  epsilon)  >  0)  {	
	8	IDENTICAL	Math_85	src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	[REPLACE]  if  (  fa  *  fb  >  0.  0  )  {	if  (fa  *  fb  >  0.0  )  {	
	11	IDENTICAL	Math_98	src/java/org/apache/commons/math/linear/BigMatrixImpl.java	final  BigDecimal[]  out  =  new  BigDecimal[nRows];	final  BigDecimal[]  out  =  new  BigDecimal[nRows];	
	67	IDENTICAL	Mockito_11	src/org/mockito/internal/creation/DelegatingMethod.java	[REPLACE]  return  method.  hashCode  (  )  ;	return  method.hashCode();	
	69	IDENTICAL	Mockito_29	src/org/mockito/internal/matchers/Same.java	description. appendText( wanted  ==  null ?   "  null   "  :  wanted.  toString ( )  );	description.appendText(wanted  ==  null?   "null   "  :  wanted.toString());	
	9	IDENTICAL	Mockito_34	src/org/mockito/internal/invocation/InvocationMatcher.java	[REPLACE]  if  (  m  instanceof  CapturesArguments  && i. getArguments ( ). length  >  k)   {	if  (m  instanceof  CapturesArguments  &&  i.getArguments().length  >  k)  {	
	1	IDENTICAL	Mockito_5	src/org/mockito/internal/verification/VerificationOverTimeImpl.java	[REPLACE]  catch  (  AssertionError  e  )  {	catch  (AssertionError  e)  {	
	1	IDENTICAL	Chart_24	source/org/jfree/chart/renderer/GrayPaintScale.java	int  g  =  (  int  )  (  (  v  -  this.  lowerBound  )  /  (  this.  upperBound  -  this.  lowerBound  )  *  255.  0  )  ;	int  g  =  (int)  ((v  -  this.lowerBound)  /  (this.upperBound	
	8	IDENTICAL	Time_19	src/main/java/org/joda/time/DateTimeZone.java	[REPLACE]  } else  if  (  offsetLocal  >=  0  )  {	}  else  if  (offsetLocal  >=  0)  {	
	4	IDENTICAL	JacksonDatabind_17	src/main/java/com/fasterxml/jackson/databind/ObjectMapper.java	[REPLACE]  && !TreeNode.  class.  isAssignableFrom  (  t.  getRawClass  (  )  )  )  ;	&&!TreeNode.class.isAssignableFrom(t.getRawClass()));	
	91	IDENTICAL	Jsoup_47	src/main/java/org/jsoup/nodes/Entities.java	if  (  !inAttribute  		  codePoint  ==  escapeMode.  xhtml  )	if  (!inAttribute  		  escapeMode  ==  EscapeMode.xhtml)	
	1	IDENTICAL	JxPath_10	src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java	return  compute  (  args[0].  compute (  context  ),  args[1].  compute  (  context  )  )	return  compute(args[0].compute(context),  args[1].compute(context))	
	4	IDENTICAL	Cli_28	src/java/org/apache/commons/cli/Parser.java	[ADD]  continue	continue;	
	5	IDENTICAL	Cli_25	src/java/org/apache/commons/cli/HelpFormatter.java	nextLineTabStop  =   1;	nextLineTabStop  =  1;	
	43	IDENTICAL	Jsoup_55	src/main/java/org/jsoup/parser/TokeniserState.java	r.  unconsume();	r.unconsume();	
	100	IDENTICAL	Codec_2	src/java/org/apache/commons/codec/binary/Base64.java	if  (  lineLength  >  0  &&   pos  >  0 )  {	if  (lineLength  >  0  &&  pos  >  0)  {	
	5	IDENTICAL	Cli_17	src/java/org/apache/commons/cli/PosixParser.java	break	break;	
	56	IDENTICAL	Closure_46	src/com/google/javascript/rhino/jstype/RecordType.java	[REPLACE]	nan	
	32	IDENTICAL	Jsoup_62	src/main/java/org/jsoup/parser/HtmlTreeBuilderState.java	String name = t.asEndTag().name();	String name = t.asEndTag().name();
	1	Semantic	JacksonDatabind_49	src/main/java/com/fasterxml/jackson/databind/ser/impl/WritableObjectId.java	[ADD]  if  (  id  ==  null  )	if  (id  ==  null)  {  }	
	7	Semantic	Closure_38	src/com/google/javascript/jscomp/CodeConsumer.java	[REPLACE]  if  (  negativeZero  		  x  <=  0  &&  prev  ==  '-'  )  {	if  ((x  <  0  		  negativeZero)  &&  prev  ==  '-')  {	
	3	Semantic	Lang_33	src/main/java/org/apache/commons/lang3/ClassUtils.java	classes[i]  =  (  array[i]  ==  null  )?  null  :  array[i].  getClass  (  )  ;	classes[i]  =  array[i]  ==  null?  null  :  array[i].getClass();	
	16	Semantic	Chart_9	source/org/jfree/data/time/TimeSeries.java	[REPLACE]  if  (  endIndex  <  startIndex  )  {	if  ((endIndex  <  0)  		  (endIndex  <  startIndex))  {	
	48	Semantic	Closure_102	src/com/google/javascript/jscomp/Normalize.java	[ADD]  if  (  CONVERT_WHILE_TO_FOR  )  {  removeDuplicateDeclarations  (  root  )  ;  }	removeDuplicateDeclarations(root);	
	92	Semantic	Compress_14	src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java	result  =  parseInt  (  buffer,  start,  length  )  ;  boolean  allNUL  =  true;  for  (  int  i  =  start;  i  <  end;  i++  )  {	if  (buffer[start]  ==  0)  {
	8	Semantic	Closure_104	src/com/google/javascript/rhino/jstype/UnionType.java	[REPLACE]  if  (  result  !=  null  &&  !result.  isUnknownType  (  )  )  {	if  (!result.isNoType())  {	
	18	Semantic	src/java/org/apache/commons/codec/language/DoubleMetaphone.java	index  =  contains  (  value,  index  +  1,  3,   "IER   "  )	}  else  if  (contains(value,  index  +  1,  3,   "IER   "))  { 
	12	Semantic	Closure_11	src/com/google/javascript/jscomp/TypeCheck.java	[REPLACE]  else  if  (!childType.  isUnknownType  (  )  &&  n.  getJSType  (  )!=  null  &&  parent.  isAssignment  (  )  )  {	nan	
	50	Semantic	Closure_118	src/com/google/javascript/jscomp/DisambiguateProperties.java	[ADD]  if  (  child.  getType  (  )  ==  Token.  STRING  )  {  continue;  }	if  (child.isQuotedString())  {  continue;  }	
	18	Semantic	Closure_126	src/com/google/javascript/jscomp/MinimizeExitPoints.java	[REPLACE]  if  (  NodeUtil.  hasFinally  (  n  )  &&  n.  getLastChild  (  ).  getString  (  ).  equals  (   "false   "  )  )  {	nan	
	2	Semantic	Closure_31	src/com/google/javascript/jscomp/Compiler.java	[REPLACE]!options.  skipAllPasses  		 options.  skipAllPasses &&	nan	
	54	Semantic	Lang_51	src/java/org/apache/commons/lang/BooleanUtils.java	[ADD]  return  (  str.  charAt  (  0  )  ==  'e'  &&  str.  charAt  (  0  )  ==  'E'  )  &&  (  str.  charAt  (  1  )  ==  'S'  ) ;	return  false;	
	31	Semantic	Lang_55	src/java/org/apache/commons/lang/time/StopWatch.java	[ADD]  if  (  this.  runningState ==  STATE_RUNNING  &&  this.  runningState!=  STATE_SUSPENDED  )  {	if(this.runningState  ==  STATE_RUNNING)	
	3	Semantic	Lang_57	src/java/org/apache/commons/lang/LocaleUtils.java	[REPLACE]  return  cAvailableLocaleSet.  contains  (  locale  )  		  cAvailableLocaleList.  contains  (  locale  )  ;	return  availableLocaleList().contains(locale);	
	45	Semantic	Math_46	src/main/java/org/apache/commons/math/complex/Complex.java	return  isZero?  NaN  :  NaN;	return  NaN;	
	26	Semantic	Math_50	src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java	if  (  x  ==  x1  &&  x0  <   x0  )  {  x0  =  0.  5  *  (  x0  +  x1  -  FastMath.  max  (  rtol  *  FastMath.  ab	nan	
	1	Semantic	Math_57	src/main/java/org/apache/commons/math/stat/clustering/KMeansPlusPlusClusterer.java	Double  sum  =  0;	double  sum  =  0;	
	21	Semantic	Math_70	src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	[ADD]  try  {  return  solve  ( f, min,  max  )  ;  }  catch  (  final  BisectionException  e  )  {  throw  new  MaxIterationsExceededException  (   "Cannot  determine  the  extent  of  the  supplied  object   "  +  f.  getMessage  (  )  )  ;	return  solve(f,  min,  max);	
	72	Semantic	Math_80	src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java	int  j  =  4  *  n  -  4;	int  j  =  4  *  (n  -  1);	
	35	Semantic	Mockito_26	src/org/mockito/internal/util/Primitives.java	primitiveValues.  put  (  double.  class,  Double.  valueOf  (  0.  0  )  )  ;	primitiveValues.put(double.class,  0D);	
	2	Semantic	Jsoup_41	src/main/java/org/jsoup/nodes/Element.java	return  tag!=  null  &&  tag.  equals  (  element.  tag  )  ;	return  tag.equals(element.tag);	
	25	Semantic  	Cli_8	src/java/org/apache/commons/cli/HelpFormatter.java	pos  =  findWrapPos  (  text,  width,  1  )  ;	pos  =  findWrapPos(text,  width,  0);
	87	Semantic	Jsoup_85	src/main/java/org/jsoup/nodes/Attribute.java	[ADD]  if  (  this.  key!=  null  &&  this.  key.  trim  (  ). length  (  )  ==  0  )  { throw  new  IllegalArgumentException  (   "   ")  ;  }	key  =  key.trim();  this.key  =  key;	
	96	Semantic	Mockito_8	src/org/mockito/internal/util/reflection/GenericMetadataSupport.java	[REPLACE]  }  else  if  (  ! typeParameter. equals ( actualTypeArgument  )   )  {	}  else  if  (typeParameter!=  actualTypeArgument)  {	
	16	Semantic	Lang_8	src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	[ADD]  if  (  zone  ==  null  )  {  zone  =  calendar. getTimeZone ( );  }	TimeZone  zone  =  calendar.getTimeZone();	
	18	Semantic	Csv_11	src/main/java/org/apache/commons/csv/CSVParser.java	final  boolean  emptyHeader  =  header.  length  (  ).  isEmpty  (  )  		  containsHeader  ==  null?  false  :  false;	final  boolean  emptyHeader  =  header  ==  null  		  header.trim().isEmpty();	
	51	Semantic	Jsoup_43	src/main/java/org/jsoup/nodes/Element.java	if  (  element  ==  null  		  element.  equals  (  search  )  )  {	if  (element  ==  search)	
	6	Semantic	Compress_27	src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java	if  (  start  >  end  )  {  throw  new  IllegalArgumentException  (  exceptionMessage  (  buffer,  offset,  length,  start,  trailer  )  )  ;  }	nan	
	1	Semantic	Gson_6	gson/src/main/java/com/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory.java	if  (  typeAdapter  ==  null  )  {  throw  new  IllegalArgumentException  (   "   ")  ;  }	if  (typeAdapter!=  null)  {  }	
	59	Semantic	Jsoup_49	src/main/java/org/jsoup/nodes/Node.java	[ADD]  if  (  index  >  0  )  {  reindexChildren  (  index  )  ;  }	reindexChildren(index);	
	60	Semantic	Chart_14	source/org/jfree/chart/plot/CategoryPlot.java	[ADD]  if  (  markers  ==  null  )  {  markers  =  new  ArrayList  (  )  ;  return  false ;  }	if  (markers  ==  null)  {  return  false;  }	
	80	Semantic	Math_104	src/java/org/apache/commons/math/special/Gamma.java	[REPLACE]  private  static  final  double  DEFAULT_EPSILON  =  10e-9  *  12e-9;	private  static  final  double  DEFAULT_EPSILON  =  10e-15;	
	16	Semantic	Csv_9	src/main/java/org/apache/commons/csv/CSVRecord.java	[ADD]  if  (  map  ==  null  )  {  throw  new  NullPointerException  (   "   ")  ;  }  else  {  throw  new  IllegalArgumentException  (   "   ")  ;  }	if  (mapping  ==  null)  {  return  map;  }
	82	Semantic	Jsoup_86	src/main/java/org/jsoup/nodes/Comment.java	[REPLACE]  if  (  doc.  childrenNodeSize  (  )  >  0  )  {	if  (doc.children().size()  >  0)  {
	2	Semantic	Closure_168	src/com/google/javascript/jscomp/TypedScopeCreator.java	[REPLACE] if ( t. getScopeDepth ( ) < 2 ) {	if (t.getScopeDepth() < = 1) {	
